id,nominador,nominado,práctica,motivo,fecha
749,SESMZO,HCETRA,Gestión visual,liderazgo,2020-09-22 16:50:37
750,UPALUH,ULHLQI,trabajo en equipo,eficiencia,2022-12-12 12:47:15
751,SESMZO,JQFVBG,5S,flexibilidad,2020-06-22 08:49:04
752,TTJBUR,KUIQQV,trabajo en equipo,liderazgo,2020-01-15 12:06:43
753,WITHGI,LBTOGT,Mindset digital,integridad,2020-04-08 13:54:49
754,TQGKAB,QBRDLY,Gestión visual,eficiencia,2021-12-14 14:11:08
755,XXOQZL,TJZCUB,5S,integridad,2020-01-16 11:03:02
756,YXITAI,YXITAI,trabajo en equipo,integridad,2020-01-17 08:38:27
757,YYZTHO,QBRDLY,Mejor enfocada,liderazgo,2020-09-28 15:58:16
758,LUTHTK,JQFVBG,Gestión visual,flexibilidad,2020-11-16 08:31:58
759,PHZJVT,NAAYMW,Mindset digital,flexibilidad,2020-01-07 12:56:20
760,UTGFSG,GGCZIW,Mejor enfocada,eficiencia,2021-04-12 09:04:01
761,MARBVV,DSHWKM,Gestión visual,eficiencia,2022-07-13 15:59:32
762,TOUMIM,IJZCZD,Mejor enfocada,integridad,2020-02-14 09:50:31
763,VTURVS,LBTOGT,5S,flexibilidad,2021-11-02 08:46:19
764,XGLFJS,QIFFFW,5S,eficiencia,2020-09-22 12:46:03
765,XGLFJS,TJZCUB,trabajo en equipo,flexibilidad,2021-03-16 15:35:12
766,VFHEHR,ULHLQI,Gestión visual,liderazgo,2021-09-21 12:34:50
767,XQOAVC,COAWHR,Gestión visual,integridad,2020-07-06 13:46:58
768,YMYLFX,XXOQZL,Gestión visual,eficiencia,2021-01-28 09:08:40
769,YXITAI,ULHLQI,Mejor enfocada,integridad,2020-02-07 15:41:08
770,UXWVVZ,FVVYVK,Mejor enfocada,liderazgo,2022-10-20 15:58:26
771,XPKFER,QBRDLY,trabajo en equipo,liderazgo,2021-06-25 10:56:11
772,LBTOGT,HDMEBS,Gestión visual,integridad,2022-08-03 15:45:53
773,RXEKOY,JSRCFO,trabajo en equipo,integridad,2021-01-25 09:14:47
774,WPCELQ,QIFFFW,trabajo en equipo,integridad,2021-08-11 14:43:00
775,JYSKJJ,CSVDUZ,trabajo en equipo,eficiencia,2021-04-16 14:03:39
776,YWBCVM,YELGTT,5S,eficiencia,2022-02-18 08:05:37
777,RFOFIV,QOUKJT,Mejor enfocada,eficiencia,2022-03-02 11:48:42
778,YMYLFX,YMYLFX,Mejor enfocada,eficiencia,2020-09-16 09:12:10
779,PKOKGH,BYARQR,Mejor enfocada,eficiencia,2021-02-22 12:59:38
780,SLTRCW,RHBVCY,trabajo en equipo,eficiencia,2021-08-20 12:17:25
781,LBTOGT,BOVVQR,Mindset digital,flexibilidad,2020-04-13 14:03:24
782,UUSLBB,JVPKMH,5S,liderazgo,2020-12-15 09:00:51
783,YMYLFX,OQASBV,trabajo en equipo,flexibilidad,2022-10-28 08:46:45
784,ZVRSPJ,XOKEPR,5S,flexibilidad,2021-03-15 16:56:17
785,ZGFFFA,YWBCVM,Mejor enfocada,liderazgo,2022-10-20 16:34:50
786,QVGXTN,AUDTVZ,Mindset digital,integridad,2022-04-04 14:35:09
787,RXEKOY,LMJATX,Gestión visual,eficiencia,2020-12-23 09:17:34
788,WJTRJS,JGDITO,Mindset digital,integridad,2020-02-05 16:08:35
789,YXITAI,VFHEHR,5S,eficiencia,2020-10-01 10:49:29
790,SESMZO,IJZCZD,trabajo en equipo,liderazgo,2021-03-08 12:48:49
791,CRLVKD,AICYGJ,5S,flexibilidad,2021-10-14 10:57:09
792,RXRBPK,PDZTYG,5S,flexibilidad,2020-08-14 11:02:53
793,ZGFFFA,ZGFFFA,Mejor enfocada,liderazgo,2021-11-10 11:06:22
794,ZVRSPJ,UIUGGE,Mindset digital,integridad,2022-10-07 14:22:26
795,TCYMBR,EDTPEY,trabajo en equipo,liderazgo,2022-09-07 08:41:11
796,YXITAI,YMYLFX,trabajo en equipo,liderazgo,2021-01-22 08:03:44
797,VTURVS,PZTNGZ,5S,integridad,2020-03-11 08:09:18
798,ZVRSPJ,YXITAI,Mejor enfocada,liderazgo,2022-10-14 14:57:07
799,UGJBEZ,LOOGPX,Gestión visual,flexibilidad,2021-12-22 11:00:54
800,WPCELQ,THIDGP,trabajo en equipo,eficiencia,2020-01-28 08:29:30
801,PWAOVJ,PKOKGH,Mindset digital,eficiencia,2022-01-12 12:42:54
802,QOQREG,IYSOAD,Mindset digital,eficiencia,2022-08-11 09:25:20
803,GJNMKD,BGOPCF,Gestión visual,liderazgo,2022-08-24 08:18:21
804,UIUGGE,ODRKER,Gestión visual,flexibilidad,2022-04-05 09:19:21
805,VRLILS,DSAIUZ,Mindset digital,integridad,2021-04-05 08:59:23
806,WTEZZM,NUBWLD,Mindset digital,eficiencia,2021-08-10 13:22:35
807,ZGFFFA,WJTRJS,Gestión visual,integridad,2021-05-17 12:53:01
808,ZJTHTP,YXITAI,trabajo en equipo,integridad,2021-07-08 08:26:08
809,XBWZWG,VRLILS,5S,integridad,2022-07-14 09:01:41
810,YPEREB,ASKKCQ,5S,integridad,2020-10-23 11:38:27
811,OIMGGQ,DSAIUZ,Gestión visual,liderazgo,2020-01-07 12:12:27
812,THIDGP,QOQREG,Mindset digital,eficiencia,2021-02-24 15:35:01
813,RFOFIV,NAAYMW,trabajo en equipo,eficiencia,2021-09-20 10:40:01
814,XXDOCZ,VGUJXS,Gestión visual,flexibilidad,2021-12-06 10:08:01
815,XXXQMD,USOPPP,trabajo en equipo,integridad,2022-01-04 09:47:35
816,HTWLQX,HTWLQX,Mejor enfocada,flexibilidad,2022-10-20 13:49:46
817,SRHEUW,RZBQVC,5S,eficiencia,2021-01-26 14:46:53
818,XPKFER,RHMZLJ,trabajo en equipo,integridad,2021-09-20 15:32:49
819,LRDAXO,EAOTWG,Mejor enfocada,liderazgo,2022-04-07 14:03:56
820,HDMEBS,ELRFFS,5S,flexibilidad,2021-12-08 15:10:48
821,ZJTHTP,YELGTT,trabajo en equipo,eficiencia,2022-11-01 09:06:49
822,NOPCYT,MELVYR,Gestión visual,liderazgo,2022-04-22 12:26:37
823,FISWLE,DBAUMT,Mejor enfocada,integridad,2020-01-02 12:08:22
824,YWBCVM,NUBWLD,Gestión visual,eficiencia,2020-07-15 14:50:37
825,MSAPPM,ICSTSE,Mindset digital,liderazgo,2020-10-01 11:39:09
826,YSDXVW,FDKEFG,Mejor enfocada,eficiencia,2020-10-26 11:56:13
827,YWBCVM,YELGTT,trabajo en equipo,flexibilidad,2021-12-24 13:16:51
828,WPCELQ,UGTYPD,5S,eficiencia,2021-02-08 11:16:37
829,RHBVCY,OQASBV,Mejor enfocada,integridad,2020-04-01 11:55:16
830,SKBQGD,OALJGY,Mejor enfocada,eficiencia,2022-11-03 15:51:38
831,YWBCVM,VGUJXS,Mejor enfocada,liderazgo,2022-09-07 10:07:17
832,YSDXVW,KQMIRF,Mindset digital,integridad,2020-02-07 14:56:50
833,TNFUQD,JCOBFG,5S,flexibilidad,2022-05-16 15:06:29
834,YELGTT,XPKFER,Gestión visual,integridad,2020-03-26 12:48:35
835,YWBCVM,TNFUQD,trabajo en equipo,liderazgo,2021-03-23 08:59:43
836,VRLILS,NCVITT,trabajo en equipo,flexibilidad,2022-09-22 11:52:05
837,RXEKOY,OHZSFW,Mindset digital,flexibilidad,2021-04-14 13:21:20
838,GGCZIW,DIUYMP,Mejor enfocada,flexibilidad,2020-01-03 14:52:00
839,RCBJMC,GJNMKD,Gestión visual,liderazgo,2021-02-11 16:32:35
840,KHQIMX,CMSRDQ,Mejor enfocada,flexibilidad,2021-12-24 08:40:49
841,LRNAYY,BGOPCF,5S,integridad,2021-11-16 12:12:51
842,YMYLFX,UXWVVZ,Mindset digital,liderazgo,2020-04-13 12:43:21
843,ZFSNEE,YBPEUH,5S,flexibilidad,2022-05-10 08:26:48
844,RCBJMC,GHZJTZ,Mejor enfocada,liderazgo,2021-09-03 11:51:48
845,XPKFER,WEAMZG,Gestión visual,flexibilidad,2020-04-20 11:39:11
846,UTGFSG,UPALUH,5S,integridad,2022-08-16 10:32:28
847,PDZTYG,HCETRA,Mejor enfocada,flexibilidad,2022-08-24 10:05:38
848,WJTRJS,WJTRJS,Mindset digital,flexibilidad,2022-01-19 14:19:06
849,LUTHTK,CHZYGW,Gestión visual,liderazgo,2022-07-11 16:19:45
850,TNFUQD,SRHEUW,5S,liderazgo,2020-10-19 08:06:43
851,EKOPDB,EKJNGS,5S,integridad,2021-11-26 13:25:43
852,ZGFFFA,XQOAVC,5S,liderazgo,2022-04-18 11:49:57
853,YSDXVW,ULHLQI,5S,liderazgo,2020-06-19 10:01:24
854,SKBQGD,QOUKJT,Mindset digital,liderazgo,2021-04-28 15:57:43
855,RIXIXG,PWAOVJ,Mindset digital,eficiencia,2022-09-01 13:15:27
856,ZVRSPJ,ZVRSPJ,5S,flexibilidad,2020-07-27 15:55:56
857,VGUJXS,QIFFFW,trabajo en equipo,liderazgo,2021-03-17 10:51:31
858,YWBCVM,YWBCVM,Mindset digital,liderazgo,2021-03-11 09:24:28
859,QWEVBT,IAINEP,trabajo en equipo,integridad,2020-09-03 08:52:09
860,GXGRWS,DIUYMP,5S,eficiencia,2022-11-10 13:02:54
861,ZGFFFA,HCETRA,5S,flexibilidad,2021-12-21 16:43:44
862,YMYLFX,OHZSFW,Gestión visual,flexibilidad,2020-01-27 12:31:14
863,UTGFSG,LRDAXO,trabajo en equipo,integridad,2020-12-10 13:49:11
864,TOUMIM,OSDYJF,Mindset digital,flexibilidad,2022-08-19 11:59:37
865,WPCELQ,SESMZO,Mindset digital,flexibilidad,2020-05-01 15:46:33
866,UXWVVZ,LBTOGT,Mejor enfocada,eficiencia,2022-05-27 12:35:17
867,RHLLVF,RHBVCY,Mejor enfocada,eficiencia,2022-12-08 13:58:01
868,SLTRCW,RHBVCY,Mindset digital,integridad,2021-11-11 09:35:00
869,WPQVQF,SPISFP,trabajo en equipo,eficiencia,2020-05-18 09:34:27
870,VFHEHR,UPALUH,Mindset digital,integridad,2022-03-01 15:45:17
871,PZTNGZ,NUQHZM,trabajo en equipo,integridad,2021-10-05 14:22:45
872,YELGTT,XQOAVC,Gestión visual,liderazgo,2020-10-23 10:40:44
873,YYZTHO,YWBCVM,trabajo en equipo,liderazgo,2021-04-26 15:33:20
874,SKBQGD,PDZTYG,Mejor enfocada,flexibilidad,2020-12-25 14:28:24
875,RHMZLJ,MSAPPM,trabajo en equipo,liderazgo,2022-06-27 15:58:45
876,UGJBEZ,NUBWLD,trabajo en equipo,flexibilidad,2022-06-24 09:36:51
877,QVGXTN,BOVVQR,Mindset digital,integridad,2022-02-04 15:28:21
878,ZVRSPJ,ZFSNEE,Gestión visual,liderazgo,2022-07-26 09:38:27
879,ZVRSPJ,YYZTHO,Gestión visual,eficiencia,2020-01-10 09:10:30
880,RZBQVC,GULPBH,trabajo en equipo,integridad,2020-11-25 10:39:43
881,ULHLQI,BGOPCF,Mejor enfocada,liderazgo,2022-03-25 13:04:04
882,LUTHTK,LGERMY,Mindset digital,eficiencia,2021-10-04 16:57:03
883,THIDGP,SCEBLG,Mejor enfocada,flexibilidad,2020-01-24 11:31:29
884,WITHGI,WEAMZG,Mejor enfocada,eficiencia,2022-03-04 12:48:50
885,TJVMBD,LOCLBR,5S,liderazgo,2020-04-15 08:30:31
886,ZVRSPJ,WTEZZM,5S,flexibilidad,2020-09-25 13:17:12
887,UUSLBB,OCRIHG,Mejor enfocada,eficiencia,2022-07-05 16:51:22
888,ZGFFFA,YYZTHO,5S,integridad,2020-10-15 08:34:50
889,XQOAVC,AICYGJ,Mindset digital,flexibilidad,2022-01-27 12:07:47
890,ZJTHTP,RZBQVC,trabajo en equipo,flexibilidad,2020-11-04 12:00:37
891,HOSBFJ,DHEKDV,5S,integridad,2022-09-21 11:51:17
892,YWBCVM,YWBCVM,Mindset digital,eficiencia,2022-11-02 16:24:25
893,YSDXVW,DSHWKM,5S,eficiencia,2021-02-16 16:09:23
894,TJVMBD,CTJUNF,5S,liderazgo,2022-04-07 10:03:09
895,TCYMBR,LYQTZB,Mindset digital,liderazgo,2022-11-23 16:06:34
896,XXOQZL,ULHLQI,trabajo en equipo,integridad,2022-07-07 15:36:36
897,PARQZG,LYQTZB,Mejor enfocada,flexibilidad,2022-11-02 16:16:43
898,YYZTHO,XPKFER,Mejor enfocada,integridad,2022-07-27 16:23:34
899,UPALUH,SLTRCW,5S,liderazgo,2022-08-24 15:29:31
900,KVXWQK,HXLIJQ,Mejor enfocada,integridad,2022-01-06 14:05:41
901,TQGKAB,LGERMY,Mindset digital,integridad,2020-06-22 14:53:39
902,ZFSNEE,YPEREB,Mejor enfocada,flexibilidad,2020-10-27 12:47:40
903,CRLVKD,ASKKCQ,trabajo en equipo,integridad,2020-04-24 14:09:37
904,RZBQVC,RXRBPK,Mejor enfocada,eficiencia,2021-02-12 12:03:24
905,WJTRJS,VTURVS,Gestión visual,integridad,2022-03-01 08:23:43
906,OALJGY,GULPBH,5S,integridad,2021-09-14 15:09:52
907,XXDOCZ,RFOFIV,Gestión visual,eficiencia,2022-10-11 15:43:20
908,MYMUVU,GBNGHK,trabajo en equipo,eficiencia,2020-04-01 15:10:37
909,RHLLVF,GXGRWS,Mejor enfocada,flexibilidad,2021-08-18 08:02:25
910,MDEJQG,HOCGQX,trabajo en equipo,integridad,2022-12-07 14:39:01
911,OALJGY,LBTOGT,Gestión visual,integridad,2020-10-14 10:59:30
912,YELGTT,XBWZWG,Mejor enfocada,eficiencia,2021-05-06 10:12:49
913,PHZJVT,ODRKER,Gestión visual,flexibilidad,2022-02-15 08:33:49
914,YBPEUH,OQASBV,Mindset digital,liderazgo,2022-12-06 11:13:13
915,MPAOFI,IWZWZC,Mejor enfocada,liderazgo,2021-01-12 11:28:49
916,ZFSNEE,YBPEUH,Mindset digital,integridad,2020-10-14 16:43:27
917,NCVITT,HPCBNT,Mindset digital,flexibilidad,2021-10-19 13:14:22
918,OCRIHG,CRLVKD,Mindset digital,liderazgo,2022-05-26 12:41:59
919,KEUSNF,IYSOAD,Mejor enfocada,flexibilidad,2021-09-14 16:21:34
920,YWBCVM,YPEREB,trabajo en equipo,integridad,2021-06-10 14:08:28
921,KHQIMX,HDMEBS,Gestión visual,eficiencia,2021-06-22 16:35:12
922,ICSTSE,CMSRDQ,Mindset digital,eficiencia,2020-06-05 12:33:36
923,WITHGI,PKOKGH,trabajo en equipo,eficiencia,2021-08-16 13:05:31
924,NOPCYT,LMJATX,Mindset digital,integridad,2020-08-14 09:55:49
925,JSRCFO,DBAUMT,Mejor enfocada,flexibilidad,2020-02-17 14:13:54
926,XXDOCZ,SPISFP,trabajo en equipo,flexibilidad,2022-02-18 14:13:22
927,RFOFIV,QOQREG,Mejor enfocada,flexibilidad,2021-11-24 16:43:31
928,XXOQZL,SKBQGD,Mindset digital,liderazgo,2020-11-17 08:28:16
929,KJSLKY,JDKPXA,Mindset digital,liderazgo,2020-11-23 12:38:08
930,UPALUH,LMJATX,Mindset digital,eficiencia,2022-01-25 15:58:26
931,WTEZZM,JSRCFO,Gestión visual,liderazgo,2021-01-25 11:31:09
932,YXITAI,XXOQZL,Gestión visual,liderazgo,2021-04-27 08:28:49
933,ZGFFFA,OCRIHG,Gestión visual,eficiencia,2020-04-27 14:59:10
934,LOCLBR,BGOPCF,5S,flexibilidad,2022-04-14 16:06:55
935,WPQVQF,VGUJXS,5S,eficiencia,2022-08-23 09:09:13
936,LUTHTK,AICYGJ,5S,integridad,2022-11-28 08:55:52
937,YWBCVM,WJTRJS,Gestión visual,liderazgo,2020-07-17 13:38:51
938,JSRCFO,EKOPDB,Gestión visual,integridad,2021-11-23 11:40:14
939,RXEKOY,QBRDLY,Mejor enfocada,eficiencia,2021-11-19 13:06:15
940,NCVITT,GTKOAR,Mejor enfocada,flexibilidad,2021-06-10 11:50:48
941,IJZCZD,GJNMKD,5S,integridad,2021-12-20 08:55:17
942,NCVITT,LOCLBR,Gestión visual,integridad,2021-11-12 09:33:18
943,YYZTHO,WTEZZM,5S,eficiencia,2022-10-25 08:39:28
944,ZVRSPJ,YWBCVM,Mindset digital,integridad,2022-04-21 14:54:58
945,ZFSNEE,TCYMBR,Mejor enfocada,integridad,2021-12-13 08:04:37
946,XKNINO,BGOPCF,5S,liderazgo,2021-10-21 11:08:19
947,XQOAVC,UXOIKV,Mindset digital,liderazgo,2021-03-15 12:10:51
948,RXEKOY,OSDYJF,5S,liderazgo,2022-11-23 12:43:58
949,WPQVQF,UUSLBB,Mindset digital,eficiencia,2020-06-01 16:20:06
950,RXRBPK,JGDITO,trabajo en equipo,flexibilidad,2020-09-09 15:27:49
951,LOOGPX,CGGPQA,trabajo en equipo,integridad,2020-01-17 12:32:02
952,NOPCYT,ELRFFS,trabajo en equipo,eficiencia,2021-11-04 11:46:01
953,ZJTHTP,OBTZBH,5S,flexibilidad,2022-02-24 14:52:55
954,ZGFFFA,PARQZG,Mindset digital,flexibilidad,2021-12-24 13:11:50
955,YSDXVW,OBTZBH,Mejor enfocada,eficiencia,2021-09-27 14:29:07
956,LOOGPX,HPCBNT,5S,eficiencia,2020-02-10 08:56:52
957,XQOAVC,WTEZZM,trabajo en equipo,eficiencia,2022-08-10 10:43:15
958,ZGFFFA,WEAMZG,Gestión visual,flexibilidad,2022-02-28 13:15:16
959,UTGFSG,KQMIRF,5S,eficiencia,2020-02-11 13:11:55
960,YXITAI,WEAMZG,Mindset digital,liderazgo,2022-09-14 13:57:10
961,UIUGGE,PWAOVJ,5S,integridad,2020-07-09 12:24:57
962,PDZTYG,OSDYJF,Mejor enfocada,liderazgo,2020-06-16 11:31:17
963,SKTDVR,DSHWKM,Gestión visual,integridad,2020-08-06 12:29:02
964,THIDGP,RHMZLJ,5S,integridad,2021-04-23 13:48:59
965,YXITAI,YXITAI,Gestión visual,eficiencia,2020-07-13 16:08:55
966,GJNMKD,AKNUZC,Mejor enfocada,eficiencia,2020-12-14 10:45:16
967,MARBVV,LTJQSN,Mejor enfocada,flexibilidad,2020-10-20 08:24:13
968,XQOAVC,IWZWZC,Gestión visual,eficiencia,2020-11-05 11:21:04
969,UUSLBB,MDEJQG,Gestión visual,liderazgo,2020-10-14 14:24:18
970,YWBCVM,VGUJXS,5S,flexibilidad,2020-01-28 16:42:57
971,YWBCVM,TQGKAB,5S,liderazgo,2021-11-26 15:44:38
972,SKBQGD,QBRDLY,Mindset digital,integridad,2021-11-23 15:57:31
973,KEUSNF,CMSRDQ,Mindset digital,flexibilidad,2022-04-18 09:30:35
974,KLASJK,ACMRSR,Gestión visual,eficiencia,2022-01-27 13:49:54
975,EKJNGS,COAWHR,Mindset digital,flexibilidad,2021-07-05 12:05:46
976,ZGFFFA,XXOQZL,Mindset digital,flexibilidad,2020-09-25 11:13:46
977,WTEZZM,UIUGGE,Mindset digital,eficiencia,2022-08-16 09:15:13
978,AICYGJ,AHCZOB,5S,liderazgo,2021-01-11 10:42:35
979,SKTDVR,RHLLVF,Gestión visual,liderazgo,2021-11-09 14:58:12
980,ZGFFFA,XBWZWG,Mejor enfocada,eficiencia,2021-07-05 15:31:29
981,ZVRSPJ,XPKFER,Gestión visual,flexibilidad,2022-01-19 13:10:49
982,TJZCUB,SLTRCW,5S,integridad,2022-01-27 12:12:40
983,OALJGY,AHCZOB,trabajo en equipo,flexibilidad,2022-08-25 11:19:30
984,YYZTHO,XBWZWG,5S,flexibilidad,2022-08-22 14:45:22
985,LMJATX,KHQIMX,Mejor enfocada,flexibilidad,2021-06-22 10:52:03
986,UIUGGE,UGJBEZ,Mindset digital,flexibilidad,2020-04-01 09:24:46
987,UGJBEZ,PZTNGZ,Mejor enfocada,flexibilidad,2021-01-01 12:56:23
988,SKTDVR,KVXWQK,Mindset digital,integridad,2021-01-28 13:06:02
989,SKTDVR,SCEBLG,Gestión visual,eficiencia,2021-09-28 08:02:07
990,TCYMBR,IYSOAD,trabajo en equipo,eficiencia,2022-12-19 08:03:13
991,WPCELQ,NGQYDO,trabajo en equipo,liderazgo,2020-12-17 14:26:18
992,WTEZZM,JQFVBG,Mejor enfocada,liderazgo,2021-11-18 15:50:54
993,IYSOAD,IAINEP,Mejor enfocada,flexibilidad,2021-06-07 14:28:08
994,YSDXVW,LRDAXO,Mejor enfocada,flexibilidad,2020-09-15 12:35:12
995,XKNINO,DHEKDV,5S,liderazgo,2021-02-22 16:29:32
996,ODRKER,KUIQQV,trabajo en equipo,flexibilidad,2022-11-09 08:54:54
997,KELKAC,DIUYMP,Gestión visual,flexibilidad,2022-10-18 11:44:02
998,QWEVBT,JDKPXA,trabajo en equipo,liderazgo,2021-08-06 13:57:36
999,TJZCUB,HPCBNT,Mindset digital,liderazgo,2020-06-11 15:16:04
1000,URYLNS,CMSRDQ,5S,integridad,2022-03-16 16:55:57
1001,HOSBFJ,GSAZKQ,5S,integridad,2020-02-18 11:22:35
1002,ULHLQI,UIUGGE,Mindset digital,liderazgo,2020-03-13 08:40:43
1003,UUSLBB,AAYJSY,5S,liderazgo,2021-05-19 08:36:05
1004,YXITAI,UPALUH,Mindset digital,eficiencia,2021-01-26 12:56:41
1005,LUTHTK,KJSLKY,Mejor enfocada,liderazgo,2021-03-23 15:10:23
1006,RHLLVF,JYSKJJ,trabajo en equipo,liderazgo,2022-04-06 11:54:47
1007,TCYMBR,QOUKJT,5S,eficiencia,2021-05-11 12:56:50
1008,ZFSNEE,CATXCK,Gestión visual,flexibilidad,2022-06-23 15:08:07
1009,KEUSNF,BGOPCF,Mindset digital,integridad,2021-12-20 13:49:23
1010,JYSKJJ,AUDTVZ,5S,integridad,2022-09-08 14:34:06
1011,XXDOCZ,GULPBH,trabajo en equipo,liderazgo,2022-02-11 08:37:10
1012,VRLILS,IYSOAD,trabajo en equipo,liderazgo,2022-06-07 12:03:33
1013,XKNINO,SESMZO,trabajo en equipo,integridad,2021-11-23 12:48:38
1014,XXDOCZ,SKTDVR,Gestión visual,eficiencia,2021-02-03 16:06:36
1015,MARBVV,EKJNGS,trabajo en equipo,flexibilidad,2020-10-15 12:32:28
1016,UPALUH,JDKPXA,Mejor enfocada,integridad,2022-02-11 10:11:24
1017,ULHLQI,MYMUVU,Gestión visual,flexibilidad,2021-02-04 10:02:32
1018,XQOAVC,RHBVCY,Mindset digital,eficiencia,2020-05-21 13:51:36
1019,OHZSFW,GJNMKD,Gestión visual,eficiencia,2020-10-23 12:38:34
1020,RFOFIV,AORPNC,trabajo en equipo,flexibilidad,2020-02-13 09:01:51
1021,ZJTHTP,ZJTHTP,Gestión visual,flexibilidad,2022-02-23 09:45:35
1022,ZVRSPJ,UUSLBB,Mejor enfocada,integridad,2020-11-02 09:38:35
1023,ZFSNEE,PARQZG,trabajo en equipo,liderazgo,2021-09-15 08:55:49
1024,VTURVS,MDSLPF,Mindset digital,liderazgo,2022-04-12 16:14:29
1025,ZJTHTP,WEAMZG,5S,eficiencia,2021-01-14 13:18:06
1026,QIFFFW,KLASJK,Gestión visual,liderazgo,2021-01-07 11:36:34
1027,SLTRCW,QWEVBT,Mejor enfocada,liderazgo,2022-02-03 15:11:29
1028,XBWZWG,PDZTYG,Mejor enfocada,eficiencia,2021-06-22 15:27:25
1029,PDZTYG,LOCLBR,5S,integridad,2022-05-27 12:41:51
1030,UTGFSG,JYSKJJ,Mejor enfocada,integridad,2022-05-27 09:26:44
1031,OQIZSN,CRLVKD,Mindset digital,flexibilidad,2020-01-16 16:49:32
1032,ZJTHTP,ZJTHTP,trabajo en equipo,integridad,2022-03-21 12:20:55
1033,XQOAVC,JVPKMH,Mindset digital,integridad,2020-09-04 10:33:38
1034,OTDUUD,ICOBBV,5S,liderazgo,2021-03-10 10:19:16
1035,XGLFJS,SCEBLG,Mindset digital,flexibilidad,2020-08-10 14:18:43
1036,UPALUH,HOCGQX,5S,integridad,2021-01-15 10:41:21
1037,VRLILS,TTJBUR,Mejor enfocada,flexibilidad,2022-09-27 16:39:57
1038,SPISFP,DIUYMP,Gestión visual,liderazgo,2022-01-05 09:46:56
1039,TOUMIM,SCEBLG,trabajo en equipo,integridad,2022-10-25 12:16:02
1040,XKNINO,XBWZWG,Gestión visual,integridad,2020-07-28 15:12:50
1041,XPKFER,QOQREG,Mejor enfocada,integridad,2021-04-20 11:20:15
1042,USOPPP,QWEVBT,Mejor enfocada,flexibilidad,2020-12-22 10:04:23
1043,XKNINO,TOUMIM,Gestión visual,flexibilidad,2022-08-22 10:29:40
1044,MMMROI,CRLVKD,Gestión visual,eficiencia,2022-12-08 10:59:27
1045,XKNINO,HVGQZL,Mejor enfocada,eficiencia,2020-01-15 08:15:26
1046,WIRZZR,AAYJSY,Gestión visual,liderazgo,2020-04-15 14:48:14
1047,XBWZWG,AICYGJ,Mejor enfocada,integridad,2020-04-15 11:59:55
1048,UXWVVZ,UPALUH,trabajo en equipo,eficiencia,2022-11-08 13:04:46
1049,UIUGGE,HTWLQX,5S,liderazgo,2021-12-08 09:13:37
1050,RFOFIV,KLBYOH,Mejor enfocada,eficiencia,2020-03-06 16:20:39
1051,PUJIAS,LUTHTK,trabajo en equipo,integridad,2020-11-04 15:53:23
1052,WPCELQ,UTGFSG,Mejor enfocada,eficiencia,2022-07-18 10:53:53
1053,XOKEPR,QOQREG,Mindset digital,liderazgo,2022-01-21 10:01:30
1054,TNFUQD,IWZWZC,trabajo en equipo,integridad,2020-11-17 08:57:21
1055,PAFJGV,BGOPCF,5S,integridad,2020-11-06 12:47:00
1056,YMYLFX,XBWZWG,5S,liderazgo,2022-12-16 15:45:42
1057,HVGQZL,HDMEBS,trabajo en equipo,integridad,2021-08-10 12:04:16
1058,KLASJK,HVGQZL,5S,eficiencia,2020-05-14 12:32:55
1059,YSDXVW,WPQVQF,Mejor enfocada,eficiencia,2021-05-14 12:07:15
1060,JVPKMH,ADACNO,5S,integridad,2020-03-25 10:14:07
1061,WJTRJS,RFOFIV,5S,liderazgo,2020-11-11 14:37:25
1062,OHZSFW,ACMRSR,Mejor enfocada,eficiencia,2020-11-05 12:21:03
1063,OKOBZI,KLASJK,trabajo en equipo,eficiencia,2021-06-01 14:13:20
1064,RHMZLJ,JGDITO,Mindset digital,liderazgo,2022-02-16 09:27:02
1065,WTEZZM,QVGXTN,Gestión visual,flexibilidad,2020-11-04 11:14:24
1066,XXXQMD,PDZTYG,Mindset digital,integridad,2021-02-10 08:29:34
1067,VRLILS,QIFFFW,trabajo en equipo,eficiencia,2022-06-08 15:41:17
1068,YXITAI,TTJBUR,Mejor enfocada,integridad,2022-01-20 11:21:20
1069,YSDXVW,YSDXVW,Mindset digital,liderazgo,2022-11-07 10:18:59
1070,BVNVRI,AUDTVZ,Gestión visual,flexibilidad,2022-04-19 13:52:00
1071,XGLFJS,WITHGI,5S,integridad,2022-09-20 09:44:01
1072,USOPPP,TOUMIM,Mejor enfocada,flexibilidad,2022-09-27 14:36:03
1073,BYARQR,AHCZOB,Mejor enfocada,liderazgo,2022-02-11 08:31:11
1074,UIUGGE,CUCDHW,trabajo en equipo,flexibilidad,2021-09-06 10:17:13
1075,WIRZZR,PAFJGV,trabajo en equipo,integridad,2020-05-27 08:16:33
1076,OSDYJF,HPCBNT,5S,integridad,2020-03-16 14:05:47
1077,YXITAI,SRHEUW,Gestión visual,integridad,2020-08-14 08:39:05
1078,KELKAC,AOPCNY,Mejor enfocada,integridad,2021-10-28 16:22:50
1079,MDSLPF,CTJUNF,5S,integridad,2020-10-08 15:04:23
1080,YMYLFX,XPKFER,Gestión visual,flexibilidad,2022-07-15 14:00:58
1081,ZJTHTP,XQOAVC,5S,integridad,2022-01-27 14:38:26
1082,ZGFFFA,XQOAVC,5S,integridad,2020-09-01 16:59:48
